Timestamp,consent,age_group,gender,education_level,primary_device,shopping_motivation,decision_speed,price_sensitivity,review_importance,brand_loyalty,social_proof_influence,primary_persona,check1,trait_introversion,trait_trust,trait_low_conscientiousness,trait_emotional_stability,check2,trait_low_openness,trait_extraversion,trait_agreeableness_reverse,trait_conscientiousness,trait_neuroticism,trait_openness,current_mood,font_style_pref,font_size_pref,color_theme_pref,accent_color_pref,background_pref,whitespace_pref,button_style_pref,hero_banner_size,recommendation_type,social_proof_display,urgency_pref,check3,checkout_style,form_field_style,product_desc_length,check4,desktop_grid_pref,desktop_info_density,desktop_image_text_ratio,desktop_whitespace,desktop_navigation,desktop_search_visibility,desktop_category_display,check5,desktop_product_card,desktop_price_display,desktop_filter_location,desktop_persistent_filters,desktop_quick_view,desktop_review_display,mobile_grid_pref,mobile_info_density,mobile_image_text_ratio,mobile_whitespace,mobile_navigation,mobile_search_visibility,mobile_category_display,mobile_product_card,mobile_price_display,mobile_filter_location,mobile_quick_view,mobile_review_display,mobile_sticky_header,mobile_touch_size,expects_device_adaptation,adaptation_comfort,delight_factors,frustration_points
93,0,0,0,1,0,1,3,4,4,1,2,5,3,3,3,3,1,3,1,5,5,3,5,5,4,1,3,4,0,0,0,2,2,0,2,4,0,4,3,0,3,2,2,0,0,1,1,2,3,3,3,2,1,2,0,3,0,2,0,1,1,2,0,1,1,2,0,0,1,1,3,97,72
94,0,1,0,3,1,2,3,4,0,3,0,0,3,5,4,5,1,3,1,3,2,5,5,5,7,2,1,5,0,3,2,4,0,1,4,4,0,3,4,2,3,3,2,1,2,2,0,0,3,0,1,1,1,1,0,0,0,0,0,1,0,0,4,2,0,0,0,1,2,3,4,120,113
95,0,0,0,3,1,4,1,1,4,2,1,0,3,5,4,5,5,3,2,1,2,4,3,5,0,1,3,4,0,0,0,2,1,1,4,2,0,3,0,1,3,1,0,1,2,2,0,3,3,4,0,2,1,0,1,0,1,0,0,1,1,0,3,0,0,1,2,0,2,0,3,24,74
96,0,0,1,1,1,3,1,4,0,3,4,3,3,4,4,4,4,3,5,2,4,3,5,5,6,1,3,0,0,1,2,0,1,1,0,4,0,3,0,1,3,2,2,0,2,3,0,1,3,2,4,0,1,0,2,0,2,0,0,0,1,1,4,2,1,2,0,1,1,3,4,29,30
97,0,1,0,1,1,3,3,1,0,3,3,5,3,2,5,1,4,3,4,5,2,5,2,3,4,1,1,5,6,3,2,5,2,3,0,4,0,2,0,1,3,3,0,2,0,0,0,3,3,3,3,1,1,3,1,0,0,2,0,1,2,1,3,2,0,1,2,1,2,0,5,120,9
98,0,0,0,1,0,2,3,1,2,4,0,1,3,3,3,4,1,3,4,2,3,3,4,4,4,2,2,4,0,0,1,4,1,1,4,0,0,3,0,2,3,2,1,1,0,3,0,1,3,3,4,1,1,3,0,1,0,0,0,0,0,0,4,1,1,1,0,1,2,1,4,22,93
99,0,0,0,4,1,1,1,1,2,1,0,1,3,3,4,4,3,3,5,4,3,4,2,4,4,0,1,0,0,4,0,4,1,2,1,4,0,1,4,0,3,0,1,1,2,1,0,3,3,4,3,1,1,3,2,0,2,0,0,0,1,1,4,2,1,2,0,1,2,2,5,120,113
100,0,0,0,1,0,3,1,1,2,1,2,2,3,2,2,1,3,3,2,4,1,5,1,5,4,1,2,4,0,0,0,2,1,1,1,0,0,3,3,2,3,1,2,1,0,0,1,0,3,0,1,2,1,0,1,1,2,0,0,2,2,2,4,2,1,2,2,0,2,2,2,36,43
101,0,0,0,4,1,3,1,0,2,1,3,4,3,3,4,3,2,3,2,3,2,4,3,4,4,1,2,0,0,0,0,4,1,2,0,0,0,3,3,1,3,1,2,0,0,2,1,1,3,3,3,2,1,3,2,0,2,0,2,1,2,1,3,1,2,2,0,0,1,2,3,120,113
102,0,1,0,1,1,4,0,1,4,1,2,4,3,2,3,3,4,3,4,3,4,4,2,3,5,0,2,2,0,3,1,2,3,0,4,4,0,1,1,2,3,2,2,0,0,1,2,0,3,4,4,1,1,1,2,1,0,0,2,0,2,0,3,0,1,2,2,0,2,3,5,120,113
103,0,0,0,1,1,1,0,0,0,3,3,2,3,4,4,2,1,3,3,2,4,3,5,5,0,1,2,0,1,0,1,4,3,3,3,4,0,3,3,0,3,2,2,1,0,3,1,2,3,3,1,1,0,3,2,2,0,0,0,2,1,0,1,2,1,2,1,1,2,1,5,93,123
104,0,0,0,4,1,3,3,0,0,1,3,0,3,3,2,3,2,3,2,3,2,4,4,4,4,3,1,4,0,2,0,1,1,1,4,0,0,4,1,2,3,1,2,0,0,1,0,1,3,0,1,1,1,1,1,0,0,0,0,0,0,2,0,2,0,2,1,1,1,2,3,83,56
105,0,0,1,4,1,3,1,1,2,3,4,4,3,4,3,2,5,3,4,5,1,5,2,5,5,1,1,1,0,1,1,2,1,1,1,0,0,1,3,2,3,1,2,1,0,2,1,3,3,0,1,2,1,0,0,0,0,0,0,2,2,0,0,2,1,2,0,0,2,2,4,74,86
106,0,0,0,3,0,3,3,1,2,3,0,5,3,3,5,2,2,3,5,5,2,4,3,5,3,2,2,2,6,3,0,2,1,3,4,1,0,3,6,3,3,1,2,1,0,1,1,3,3,0,3,1,1,3,2,2,2,0,0,0,1,1,3,2,0,2,0,1,1,3,5,120,113
107,0,0,1,1,0,3,3,0,4,3,4,0,3,5,4,4,5,3,4,3,4,5,1,3,5,2,2,4,0,3,0,4,3,1,4,0,0,1,3,3,3,1,1,1,0,2,2,2,3,0,1,2,0,3,2,0,1,1,0,0,2,0,0,2,1,2,0,0,2,1,5,40,49
109,0,0,1,1,1,3,1,0,4,3,4,3,3,2,3,3,4,3,3,5,3,3,4,4,3,3,2,0,5,0,0,0,3,0,1,1,0,4,0,1,3,0,2,1,0,2,1,2,3,0,4,2,1,1,2,0,2,0,0,1,1,1,2,1,2,0,2,1,1,1,5,7,38
110,0,0,0,4,1,0,1,0,0,3,2,1,3,2,5,4,2,3,4,4,2,4,5,5,5,1,3,2,0,0,2,2,1,3,1,3,0,3,0,1,3,0,2,1,2,1,1,3,3,4,0,2,1,3,2,2,2,0,0,1,1,2,4,2,1,2,0,0,1,2,4,3,37
111,0,0,1,3,1,2,2,2,4,3,0,4,3,3,4,5,5,3,4,3,2,5,2,5,4,2,2,0,0,0,0,2,1,0,1,2,0,4,4,3,3,1,2,1,0,3,1,1,3,0,1,1,1,0,0,0,2,0,0,2,0,2,4,2,1,0,0,1,1,2,5,68,113
112,0,0,0,3,1,3,0,1,0,1,0,3,3,4,4,2,4,3,3,3,1,2,2,4,4,1,1,0,0,4,0,4,3,1,0,1,0,4,6,3,3,1,2,0,0,2,1,2,3,3,3,2,1,3,0,0,2,0,0,0,1,1,3,2,1,0,2,1,2,2,4,13,65
113,0,0,0,3,0,0,1,3,0,3,0,4,3,4,5,4,4,3,1,2,2,4,1,5,4,2,1,5,0,1,0,2,3,0,1,4,0,4,4,3,3,3,2,0,0,1,1,3,3,4,3,1,1,3,3,1,2,0,0,0,1,1,4,1,0,1,2,1,2,2,4,120,113
114,0,1,1,1,1,3,1,1,0,4,2,5,3,4,4,2,5,3,4,5,2,4,1,3,4,2,2,2,0,0,1,4,1,0,4,0,0,4,1,3,3,3,0,2,0,2,1,3,3,3,3,1,1,1,2,3,0,2,0,3,1,0,3,1,1,0,0,0,2,0,4,120,113
115,0,1,1,3,0,4,1,0,0,1,0,5,3,3,5,2,4,3,3,4,2,4,3,4,1,1,2,5,5,2,0,2,1,3,4,1,0,3,3,1,3,2,2,0,2,0,0,3,3,0,0,1,1,0,0,2,2,0,0,0,1,0,4,0,2,1,0,1,1,3,5,6,32
116,0,1,0,3,1,3,1,1,0,4,3,4,3,4,3,3,2,3,3,3,3,3,3,4,4,0,3,0,0,0,0,2,1,1,1,0,0,4,4,2,3,3,2,0,0,0,0,2,3,3,1,2,0,3,0,0,2,0,0,2,1,0,0,0,1,1,0,0,1,3,4,71,82
117,0,0,1,1,0,3,3,1,2,3,2,4,3,3,4,5,3,3,5,2,2,4,1,5,0,1,2,1,0,1,0,4,1,0,1,0,0,4,4,2,3,2,2,1,0,3,0,3,3,3,4,1,1,3,2,2,2,0,2,1,1,0,3,2,1,2,0,1,1,1,4,42,59
118,0,1,1,1,1,3,2,4,4,3,3,3,3,3,4,4,5,3,1,2,1,4,3,4,5,2,2,5,0,0,0,4,1,0,0,0,0,3,3,3,3,2,2,1,2,3,0,3,3,3,0,1,1,3,3,0,2,0,0,2,1,2,3,0,0,2,2,0,2,1,5,67,113
119,0,2,1,3,1,3,2,0,3,1,2,4,3,3,5,2,2,3,5,3,1,4,4,5,7,1,3,5,5,3,2,5,1,0,1,4,0,4,0,1,3,4,0,2,0,2,0,3,3,2,0,1,1,0,2,1,2,0,0,1,0,2,3,0,2,1,0,1,1,2,4,123,116
120,0,0,0,3,1,1,3,3,4,1,2,2,3,2,4,2,3,3,1,2,1,4,3,2,5,2,1,3,1,3,0,2,0,1,0,2,0,1,4,2,3,1,1,1,0,3,2,3,3,0,4,2,1,0,1,0,2,0,0,0,2,1,3,2,1,1,2,1,2,2,3,15,68
121,0,0,0,1,0,0,3,0,0,1,0,5,3,3,1,3,3,3,4,2,3,3,2,4,5,2,2,2,0,4,0,4,3,1,4,0,0,4,4,2,3,1,2,1,0,0,1,1,3,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,4,120,113
122,0,0,0,1,1,0,1,4,4,1,3,0,3,3,4,4,2,3,3,2,2,4,4,4,7,1,3,2,1,0,0,1,3,0,4,2,0,4,3,1,3,1,2,0,0,2,0,2,3,3,4,1,1,0,0,0,0,0,0,1,0,1,3,2,0,2,0,1,2,1,2,120,113
123,0,1,0,3,1,3,1,1,4,3,0,2,3,4,4,3,4,3,2,4,2,3,2,4,5,2,2,5,0,0,0,4,3,3,2,1,0,4,4,0,3,3,2,1,0,2,1,0,3,4,1,1,0,0,1,0,2,0,0,3,1,1,4,2,1,2,0,1,2,1,5,98,85
124,0,0,1,1,1,1,2,1,0,1,3,1,3,3,1,2,4,3,5,4,1,3,2,5,4,0,1,0,0,3,0,4,1,1,4,2,0,4,3,3,3,2,2,1,0,0,0,1,3,0,1,1,1,1,0,1,2,0,0,0,1,2,1,2,0,2,0,1,2,2,4,64,61
125,0,1,0,3,1,3,1,1,2,3,0,3,3,3,4,3,4,3,5,3,2,3,2,2,1,3,2,5,0,0,0,4,0,1,1,1,0,3,3,0,3,3,2,1,2,2,0,2,3,4,3,1,1,3,2,1,2,0,0,2,0,0,4,1,1,2,0,1,1,2,4,120,113
126,0,0,0,4,1,3,3,1,2,1,1,4,3,3,2,4,1,3,2,2,4,1,2,1,4,1,3,0,0,0,0,4,2,0,1,0,0,3,3,2,3,3,2,0,2,1,0,3,3,3,0,1,1,2,1,1,2,0,0,0,2,0,4,2,0,1,2,1,2,1,4,48,25
127,0,0,0,4,1,0,0,1,2,3,0,1,3,3,4,3,4,3,4,5,2,3,2,4,7,0,3,2,0,3,0,4,1,1,0,1,0,4,4,3,3,1,2,1,2,3,0,0,3,0,4,1,0,3,2,3,2,0,0,0,1,1,4,2,0,2,2,1,1,2,4,120,113
128,0,1,0,3,1,0,1,0,0,1,0,4,3,3,5,1,2,3,2,4,2,4,4,2,7,2,3,2,0,2,0,4,1,1,4,4,0,3,1,3,3,0,2,0,0,2,2,0,3,2,4,0,1,0,0,2,2,0,0,1,1,2,3,2,2,1,2,1,1,2,4,35,69
129,0,1,0,1,1,0,1,3,2,1,3,2,3,4,4,2,3,3,1,5,4,5,5,5,4,1,2,3,3,2,0,2,1,1,1,4,0,4,0,0,3,1,2,1,2,1,0,3,3,1,0,1,1,2,0,1,0,0,0,3,0,2,4,1,0,2,2,1,2,1,1,18,106
130,0,0,0,1,1,4,1,4,2,1,3,1,3,4,3,4,4,3,4,5,3,4,3,4,4,2,3,5,5,0,2,1,0,1,1,1,0,1,7,3,3,3,2,0,2,0,2,0,3,0,4,0,0,1,1,0,2,0,0,3,0,1,0,2,2,2,2,1,1,2,5,120,113
131,0,0,0,1,0,3,1,1,2,0,2,4,3,3,4,3,3,3,3,2,2,3,3,3,4,2,2,2,0,1,2,3,3,1,1,1,0,4,5,2,3,3,0,0,2,2,1,3,3,0,1,1,1,3,2,0,2,0,0,0,0,0,3,2,1,2,0,1,2,2,3,120,113
132,0,0,0,1,1,3,2,1,0,2,0,5,3,3,2,4,2,3,3,4,3,5,2,3,4,1,2,4,0,0,0,4,1,1,4,0,0,3,2,2,3,2,2,1,0,1,0,3,3,0,1,1,0,1,1,1,0,0,0,2,0,0,3,2,2,1,2,0,2,2,4,46,36
133,0,0,0,3,1,3,3,1,0,2,2,5,3,3,5,2,4,3,4,3,3,5,4,5,4,1,2,4,0,2,0,4,1,1,1,0,0,0,7,3,3,4,2,1,0,3,0,3,3,3,0,1,1,1,3,2,2,0,0,2,2,2,4,1,0,2,0,1,2,3,5,33,29
134,0,1,0,1,1,0,2,1,2,1,3,1,3,3,4,4,2,3,2,4,2,4,3,4,4,2,2,3,0,0,0,4,3,3,4,0,0,0,2,2,3,1,2,1,0,2,1,3,3,0,4,2,0,3,0,3,2,0,0,2,1,2,3,2,0,1,0,1,2,2,5,52,42
135,0,1,1,3,1,0,3,4,2,1,2,1,3,4,4,3,4,3,2,3,2,4,1,3,5,0,2,0,1,2,0,2,1,2,4,0,0,0,2,3,3,1,2,1,2,3,0,3,3,4,1,1,1,0,2,3,2,0,0,0,1,0,3,2,1,2,0,1,2,2,3,54,44
136,0,1,0,1,1,3,3,1,0,1,2,5,3,5,3,1,2,3,4,2,1,3,3,4,5,2,1,4,2,0,1,4,2,1,4,2,0,3,0,1,3,2,1,1,2,3,2,2,3,4,2,1,1,3,0,0,1,0,0,0,0,1,4,1,0,1,0,0,1,2,4,99,52
137,0,1,0,3,1,3,1,1,4,1,2,4,3,2,4,1,3,3,1,5,2,3,4,5,4,2,3,4,2,4,0,4,1,2,1,3,0,3,7,0,3,0,1,1,0,3,0,0,3,4,0,1,1,3,3,2,2,0,0,0,2,2,2,1,0,2,2,1,1,2,5,20,31
138,0,1,0,1,1,1,1,1,3,1,1,0,3,3,4,2,4,3,1,3,2,4,2,4,4,0,2,4,1,0,2,4,1,1,2,2,0,3,4,2,3,0,2,1,2,3,0,2,3,4,1,2,1,0,0,2,2,0,0,0,0,1,4,2,1,1,0,0,2,2,4,120,113
139,0,0,1,1,1,3,3,4,0,1,0,5,3,4,3,2,5,3,5,4,5,5,1,5,5,2,2,4,0,1,0,2,1,0,4,2,0,3,1,2,3,1,2,1,2,0,1,3,3,2,0,1,1,0,0,0,2,0,0,0,1,2,3,0,0,2,2,1,2,1,3,73,67
140,0,0,0,1,1,3,2,3,2,2,2,2,3,4,5,2,3,3,3,4,2,4,5,5,1,2,2,5,0,0,2,4,1,1,3,1,0,3,5,2,3,1,2,0,2,3,2,3,3,1,3,2,0,3,0,2,2,0,0,2,2,1,4,0,2,2,2,1,2,2,4,70,77
141,0,1,0,3,1,4,0,1,2,3,3,2,3,3,4,2,2,3,4,4,1,4,5,4,1,1,2,3,0,0,0,2,1,3,1,1,0,4,5,2,3,2,2,0,0,0,2,3,3,4,0,1,1,3,0,3,2,0,0,1,2,2,3,2,1,2,0,1,2,1,1,76,64
142,0,0,0,1,1,1,3,4,2,2,0,0,3,4,2,3,3,3,4,3,3,5,4,5,5,0,2,4,0,3,0,2,3,1,4,3,0,3,4,3,3,4,2,1,0,1,1,3,3,1,3,0,1,0,2,3,2,0,0,3,0,1,2,2,0,0,2,0,1,3,1,120,113
143,0,0,0,1,1,3,1,4,2,1,2,5,3,3,4,5,1,3,4,5,2,4,5,4,7,3,2,4,0,0,0,1,1,1,1,0,0,3,1,2,3,2,0,0,0,0,0,2,3,3,1,1,1,0,0,0,2,0,0,0,0,0,3,2,0,2,0,1,2,2,5,0,41
144,0,0,0,1,1,1,1,1,4,0,2,2,3,4,5,2,4,3,4,3,2,4,3,2,5,1,2,5,3,0,2,3,1,1,4,0,0,4,7,1,3,3,2,1,2,2,2,0,3,4,1,2,0,2,2,0,0,0,0,2,2,0,3,2,1,1,2,0,2,2,4,120,113
145,0,1,0,4,1,3,3,4,0,1,2,5,3,3,4,3,5,3,4,5,1,4,5,4,7,1,2,5,1,4,0,3,3,0,4,0,0,3,0,1,3,3,2,0,2,3,0,3,3,3,4,2,1,3,0,0,2,0,0,0,0,2,3,0,0,0,2,1,2,2,4,69,92
146,0,0,1,4,1,1,2,1,4,1,0,1,3,5,5,1,5,3,1,5,1,3,1,5,4,2,2,0,5,0,0,2,3,2,4,3,0,4,0,3,3,2,2,0,2,0,2,2,3,3,4,2,1,1,0,1,2,0,0,1,1,0,0,2,1,0,0,1,1,2,5,43,10
147,0,0,1,3,1,3,2,4,2,1,0,2,3,5,5,4,5,3,3,5,3,5,1,3,5,0,2,5,0,4,0,4,1,1,4,0,0,2,5,3,3,1,2,0,0,2,1,3,3,3,3,1,1,1,2,0,2,0,0,1,0,0,3,2,1,2,0,0,1,1,4,4,112
148,0,1,0,3,1,0,3,1,4,1,2,2,3,3,2,4,3,3,1,4,2,3,2,5,7,1,1,2,5,3,1,3,1,1,4,4,0,3,4,0,3,1,2,0,2,3,1,3,3,0,1,1,1,0,1,0,2,0,0,1,2,0,3,2,0,2,2,0,1,2,4,5,35
149,0,0,1,4,1,3,1,1,4,0,2,3,3,3,4,1,4,3,3,4,4,3,5,4,4,0,2,2,1,3,0,5,3,2,1,3,0,3,7,2,3,1,2,1,2,3,1,0,3,4,3,2,1,3,2,0,2,0,0,1,1,2,4,0,1,2,2,1,1,1,4,106,122
150,0,1,0,3,1,3,3,0,2,3,2,5,3,3,3,4,3,3,4,2,4,4,3,5,2,0,2,4,0,0,0,2,1,0,4,0,0,2,1,3,3,0,2,1,0,0,1,2,3,3,0,1,0,0,1,0,2,0,0,2,1,0,3,1,1,2,2,1,2,1,3,58,28
151,0,0,0,3,1,1,3,1,0,4,3,0,3,1,1,5,1,3,1,1,1,1,5,5,7,1,0,3,0,0,0,2,3,0,4,2,0,3,1,2,3,3,0,1,1,1,0,3,3,4,2,2,0,3,0,0,0,1,1,1,0,2,3,1,0,2,0,1,2,3,5,19,87
152,0,2,0,1,1,3,1,0,0,1,2,0,3,3,3,4,3,3,2,4,1,4,1,5,5,0,3,3,0,0,0,1,2,2,4,4,0,3,1,2,3,2,2,1,0,1,1,1,3,3,0,1,1,1,2,1,2,0,0,2,1,0,4,0,1,1,0,0,2,2,5,30,62
153,0,1,0,1,1,2,3,1,2,3,3,3,3,3,4,2,3,3,4,4,1,4,3,3,4,2,2,5,0,0,0,4,3,1,1,0,0,3,5,3,3,2,2,0,2,1,2,2,3,0,4,1,1,3,1,0,2,0,0,0,2,0,4,2,1,2,1,0,1,2,4,120,113
156,0,0,1,3,1,3,3,3,1,3,3,4,3,3,4,2,3,3,4,2,4,4,4,4,7,1,3,2,5,2,2,4,3,0,0,0,0,3,1,2,3,2,2,1,0,3,1,2,3,0,1,0,1,3,2,0,2,0,0,2,2,0,4,2,1,1,0,0,2,2,4,1,53
157,0,0,0,3,1,0,3,1,2,1,0,0,3,3,4,4,3,3,2,4,3,5,4,4,7,1,2,2,0,0,0,3,1,1,1,3,0,3,1,2,3,0,1,1,2,0,2,3,3,3,1,1,1,3,2,0,2,0,0,2,2,2,4,2,1,1,0,0,1,2,4,107,119
154,0,1,0,3,1,3,0,1,2,3,3,2,3,4,4,4,4,3,4,4,3,4,3,3,3,1,2,4,1,0,0,5,1,1,4,0,0,4,0,3,3,1,2,0,1,1,1,3,3,3,3,2,1,3,2,0,2,0,1,0,1,0,3,2,1,2,0,1,1,2,4,25,54
155,0,0,0,4,1,3,2,1,2,4,3,3,3,4,4,2,3,3,2,4,2,4,4,3,7,1,1,3,3,4,0,2,3,1,0,2,0,4,5,3,3,3,2,0,1,0,1,3,3,3,4,2,0,3,2,0,2,0,1,0,1,1,0,2,2,2,1,1,1,2,4,120,113
158,0,1,1,3,1,3,2,1,2,4,3,4,3,3,4,2,2,3,4,4,3,5,2,5,5,1,1,3,0,2,1,4,1,3,1,4,0,2,5,0,3,1,1,2,2,3,1,3,3,0,1,1,0,0,2,3,2,2,0,0,0,1,3,1,1,1,0,1,1,2,5,120,113
159,0,1,1,3,1,3,3,4,0,2,0,5,3,3,3,2,4,3,3,4,3,3,2,5,4,0,2,2,0,2,0,3,3,1,4,4,0,3,0,0,3,1,2,1,0,0,1,3,3,3,3,2,0,0,2,0,2,0,0,2,2,2,4,2,0,2,0,1,1,2,5,16,113
160,0,1,1,1,0,3,1,0,2,1,0,5,3,4,4,1,4,3,4,3,3,4,3,4,4,0,3,4,0,3,0,2,1,1,1,4,0,3,7,3,3,3,2,0,0,3,0,3,3,3,3,1,1,3,2,2,2,0,0,0,1,0,3,2,2,2,0,0,1,3,3,57,23
161,0,1,1,3,1,3,2,1,0,1,2,5,3,3,4,3,3,3,4,4,2,3,2,4,4,2,3,0,0,2,2,2,3,1,4,1,0,2,0,2,3,4,0,2,2,2,0,2,3,1,4,1,1,3,2,0,0,2,2,1,0,2,0,2,1,0,0,1,1,3,3,75,51
162,0,0,1,1,1,3,0,0,4,4,3,4,3,4,4,2,5,3,3,3,4,4,4,4,3,0,1,5,5,2,2,5,1,1,0,4,0,3,4,1,3,0,2,0,0,3,1,3,3,3,3,1,1,3,2,2,2,0,0,3,2,1,2,0,0,1,2,1,2,2,4,47,12
163,0,0,1,1,0,3,3,1,0,1,0,5,3,3,4,4,3,3,3,4,2,3,3,5,2,2,2,0,0,4,0,3,3,1,1,4,0,3,0,1,3,2,2,0,0,1,0,3,3,3,4,0,0,0,0,0,0,2,0,2,0,2,3,2,2,2,2,1,2,2,4,120,113
165,0,2,1,1,1,1,3,1,1,1,0,1,3,3,3,3,5,3,3,3,3,4,4,4,1,2,1,3,1,3,1,4,0,1,1,4,0,3,7,0,3,1,1,1,0,3,0,0,3,4,0,2,1,0,3,2,1,1,0,2,2,2,4,2,2,1,2,1,2,0,3,66,1
166,0,0,0,4,0,3,3,4,0,2,0,5,3,4,4,4,4,3,5,2,1,4,5,5,4,3,3,5,2,0,0,1,1,0,1,0,0,4,2,2,3,1,2,1,2,0,0,2,3,4,1,1,1,0,3,2,2,0,0,2,0,1,4,0,1,2,0,0,2,2,3,120,113
167,0,0,0,4,1,0,1,0,2,0,4,5,3,5,5,1,5,3,5,3,2,3,3,3,4,0,1,4,3,3,0,4,2,3,1,4,0,2,4,1,3,3,0,0,2,1,0,2,3,4,4,0,1,0,3,2,2,0,0,1,2,2,3,0,1,2,2,1,2,0,5,120,113
168,0,0,1,1,0,1,1,1,3,1,3,2,3,3,4,2,4,3,4,5,2,4,1,5,3,0,2,2,0,2,1,4,1,3,0,3,0,4,5,0,3,3,2,1,1,1,1,3,3,0,4,0,1,1,0,3,2,0,0,1,1,2,3,2,1,2,2,1,1,2,4,45,60
169,0,2,1,1,1,3,1,4,0,3,2,0,3,4,4,4,2,3,4,2,4,3,4,4,7,0,3,2,0,3,1,2,3,1,1,2,0,3,7,1,3,2,0,0,2,2,0,2,3,0,3,1,1,0,0,1,0,0,0,2,2,0,3,2,1,1,2,0,2,2,4,82,111
170,0,0,0,1,1,3,3,3,0,3,1,4,3,3,2,2,1,3,5,3,4,4,5,5,4,2,2,2,0,3,0,4,3,2,4,2,0,3,7,2,3,1,2,1,0,3,0,0,3,2,3,2,0,1,3,0,2,1,0,0,2,2,4,2,1,2,0,0,2,2,3,120,113
171,0,1,1,2,1,0,2,0,2,3,4,4,3,5,5,2,3,3,3,5,3,4,4,5,4,0,1,4,1,3,1,3,1,1,1,4,0,3,5,0,3,3,0,0,2,1,1,1,3,2,4,0,0,3,2,1,0,0,2,1,2,2,3,2,0,1,2,1,2,3,4,120,113
